date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote,SMA_5,SMA_20,EMA_12,RSI,MACD,Price_Change,Volatility,High_Low_Ratio,Volume_SMA,Upper_Shadow,Lower_Shadow,Body_Size,Support,Resistance,Price_Position
2022-10-27,7.158,7.365,6.858,6.892,4318895.49,30714307.53915,98592,2072234.83,14761185.5893,7.4552000000000005,7.390799999999999,6.892,45.18010791891496,0.0,0.031485780615206016,0.08554485373040856,1.0739282589676291,6659579.889,0.20699999999999985,0.034000000000000696,0.266,5.69,9.47,0.19338624338624333
2022-10-28,6.893,7.2,6.83,7.109,3195848.02,22384385.43907,71963,1509748.56,10577528.15036,7.4552000000000005,7.390799999999999,7.009541666666666,45.18010791891496,0.004868589743590057,0.031485780615206016,0.08554485373040856,1.054172767203514,6659579.889,0.09100000000000019,0.06299999999999972,0.2160000000000002,5.69,9.47,0.19338624338624333
2022-10-29,7.108,7.661,7.076,7.636,5922885.58,43586411.00135,130478,3033026.64,22336156.53874,7.4552000000000005,7.390799999999999,7.2540484988452665,45.18010791891496,0.02254578815034325,0.07413138275425513,0.08554485373040856,1.0826738270209157,6659579.889,0.024999999999999467,0.03200000000000003,0.5280000000000005,5.69,9.47,0.19338624338624333
2022-10-30,7.637,7.932,7.48,7.782,6277383.29,48314353.79686,153138,3086064.64,23757304.30471,7.4552000000000005,7.390799999999999,7.420702155172415,45.18010791891496,0.0353044588879019,0.01911995809324263,0.08554485373040856,1.060427807486631,6659579.889,0.15000000000000036,0.15699999999999914,0.14500000000000046,5.69,9.47,0.19338624338624333
2022-10-31,7.783,8.333,7.664,7.857,8476588.97,67630099.8215,211492,4268160.62,34068972.61474,7.4552000000000005,7.390799999999999,7.539242720293757,45.18010791891496,0.044478504607267766,0.009637625289128815,0.08554485373040856,1.0872912317327768,6659579.889,0.476,0.11900000000000066,0.07399999999999984,5.69,9.47,0.19338624338624333
2022-11-01,7.854,7.923,7.63,7.684,3790469.73,29439256.27702,92032,1739604.58,13513178.42647,7.6136,7.390799999999999,7.57442635491456,45.18010791891496,0.04175972092054625,-0.022018582156039246,0.08554485373040856,1.0384010484927917,6659579.889,0.06899999999999995,0.05400000000000027,0.16999999999999993,5.69,9.47,0.19338624338624333
2022-11-02,7.683,8.0,7.338,7.437,8337674.08,64029729.00664,190798,3993520.5,30672304.9193,7.679199999999999,7.390799999999999,7.543760144633502,45.18010791891496,0.028107325572639397,-0.03214471629359705,0.08554485373040856,1.0902153175252112,6659579.889,0.31700000000000017,0.0990000000000002,0.24599999999999955,5.69,9.47,0.19338624338624333
2022-11-03,7.436,8.02,7.388,7.72,8014383.31,62564608.05491,175418,3884037.24,30336159.03953,7.695999999999998,7.390799999999999,7.580538686044893,45.18010791891496,0.03196047275371772,0.0380529783514858,0.08554485373040856,1.0855441256090959,6659579.889,0.2999999999999998,0.04800000000000004,0.2839999999999998,5.69,9.47,0.19338624338624333
2022-11-04,7.72,8.898,7.66,8.715,11886503.72,98774017.64201,292027,5912313.46,49166129.9632,7.882599999999999,7.390799999999999,7.804975512797373,45.18010791891496,0.08350798433191287,0.12888601036269431,0.08554485373040856,1.1616187989556135,6659579.889,0.18299999999999983,0.05999999999999961,0.9950000000000001,5.69,9.47,0.19338624338624333
2022-11-05,8.715,9.008,8.562,8.663,6375166.7,55895433.24499,171233,3212926.23,28196880.84854,8.0438,7.390799999999999,7.967570819655859,45.18010791891496,0.11618097376031944,-0.005966724039013105,0.08554485373040856,1.052090633029666,6659579.889,0.29299999999999926,0.10100000000000087,0.0519999999999996,5.69,9.47,0.19338624338624333
